NROGAR,DESC TIPGAR,MONEDA,M GARANTIA MO,M GARANTIA MN,SEGMENTO,may_1MM
5422,FONDO MUTUO,USD,1499.99,4976.96682,Banca Minorista,0
5423,FONDO MUTUO,PEN,1080,1080,Banca Minorista,0
5424,FONDO MUTUO,PEN,14400,14400,Banca Minorista,0
5425,SUPER DEPOSITO,PEN,1000,1000,Banca Minorista,0
5426,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5427,SUPER DEPOSITO,PEN,5000,5000,Banca Minorista,0
5428,DEPOSITO A PLAZO,PEN,4425.85,4425.85,Banca Minorista,0
5429,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5430,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5431,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5432,CUENTAS EN GTIA,USD,15000,49770,Banca Minorista,0
5433,DEPOSITO A PLAZO,PEN,24000,24000,Banca Minorista,0
5434,CUENTAS EN GTIA,USD,656,2176.608,Banca Minorista,0
5435,CUENTAS EN GTIA,USD,370,1227.66,Banca Minorista,0
5436,FONDO MUTUO,PEN,990,990,Banca Minorista,0
5437,FONDO MUTUO,PEN,6415,6415,Banca Minorista,0
5438,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5439,FONDO MUTUO,PEN,3630,3630,Banca Minorista,0
5440,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5441,FONDO MUTUO,PEN,12000,12000,Banca Minorista,0
5442,DEPOSITO A PLAZO,PEN,0,0,Banca Minorista,0
5443,DEPOSITO A PLAZO,PEN,2500,2500,Banca Minorista,0
5444,FONDO MUTUO,USD,14190,47082.42,Banca Minorista,0
5445,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5446,CUENTAS EN GTIA,PEN,840,840,Banca Minorista,0
5447,CUENTAS EN GTIA,PEN,6000,6000,Banca Minorista,0
5448,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5449,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5450,CUENTAS EN GTIA,USD,3000,9954,Banca Minorista,0
5451,CUENTAS EN GTIA,PEN,1430,1430,Banca Minorista,0
5452,DEPOSITO A PLAZO,PEN,3000,3000,Banca Minorista,0
5453,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5454,CUENTAS EN GTIA,USD,300,995.4,Banca Minorista,0
5455,CUENTAS EN GTIA,USD,4100,13603.8,Banca Minorista,0
5456,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5457,CUENTAS EN GTIA,USD,365,1211.07,Banca Minorista,0
5458,FONDO MUTUO,PEN,770,770,Banca Minorista,0
5459,DEPOSITO A PLAZO,PEN,4999.8,4999.8,Banca Minorista,0
5460,CUENTAS EN GTIA,USD,1000,3318,Banca Minorista,0
5461,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5462,FONDO MUTUO,USD,1785,5922.63,Banca Minorista,0
5463,CUENTAS EN GTIA,USD,370,1227.66,Banca Minorista,0
5464,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
5465,FONDO MUTUO,PEN,5500,5500,Banca Minorista,0
5466,FONDO MUTUO,PEN,1650,1650,Banca Minorista,0
5467,DEPOSITO A PLAZO,PEN,8500,8500,Banca Minorista,0
5468,DEPOSITO A PLAZO,PEN,2000,2000,Banca Minorista,0
5469,CUENTAS EN GTIA,PEN,1980,1980,Banca Minorista,0
5470,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5471,FONDO MUTUO,PEN,23927,23927,Banca Minorista,0
5472,CUENTAS EN GTIA,USD,3325,11032.35,Banca Minorista,0
5473,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5474,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5475,DEPOSITO A PLAZO,PEN,55264,55264,Banca Minorista,0
5476,FONDO MUTUO,PEN,30600,30600,Banca Minorista,0
5477,SUPER DEPOSITO,PEN,4522.81,4522.81,Banca Minorista,0
5478,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5479,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5480,FONDO MUTUO,PEN,996,996,Banca Minorista,0
5481,DEPOSITO A PLAZO,PEN,10000,10000,Banca Minorista,0
5482,CUENTAS EN GTIA,PEN,12000,12000,Banca Minorista,0
5483,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5484,FONDO MUTUO,PEN,959,959,Banca Minorista,0
5485,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5486,CUENTAS EN GTIA,USD,370,1227.66,Banca Minorista,0
5487,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5488,DEPOSITO A PLAZO,PEN,10152.82,10152.82,Banca Minorista,0
5489,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5490,CUENTAS EN GTIA,PEN,39984,39984,Banca Minorista,0
