NROGAR;DESC TIPGAR;MONEDA; M GARANTIA MO ; M GARANTIA MN ; SEGMENTO ; may_1MM 
19412;FONDO MUTUO;PEN; 22,800 ; 22,800 ;Banca Minorista;0
19413;FONDO MUTUO;PEN; 13,999 ; 13,999 ;Banca Minorista;0
19414;DEPOSITO A PLAZO;PEN; 40,000 ; 40,000 ;Banca Minorista;0
19415;SUPER DEPOSITO;PEN; 6,120 ; 6,120 ;Banca Minorista;0
19416;DEPOSITO A PLAZO;PEN; 43,000 ; 43,000 ;Banca Minorista;0
19417;FONDO MUTUO;PEN; 19,450 ; 19,450 ;Banca Minorista;0
19418;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
19419;FONDO MUTUO;PEN; 2,100 ; 2,100 ;Banca Minorista;0
19420;FONDO MUTUO;PEN; 1,000 ; 1,000 ;Banca Minorista;0
19421;CUENTAS EN GTIA;PEN; 3,300 ; 3,300 ;Banca Minorista;0
19422;FONDO MUTUO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
19423;DEPOSITO A PLAZO;PEN; 230,000 ; 230,000 ;Banca Minorista;0
19424;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
19425;FONDO MUTUO;USD; 12,000 ; 39,816 ;Banca Minorista;0
19426;DEPOSITO A PLAZO;PEN; 3,000 ; 3,000 ;Banca Minorista;0
19427;FONDO MUTUO;PEN; 70,000 ; 70,000 ;Banca Minorista;0
19428;DEPOSITO A PLAZO;USD; 7,000 ; 23,226 ;Banca Minorista;0
19429;FONDO MUTUO;PEN; 999 ; 999 ;Banca Minorista;0
19430;FONDO MUTUO;PEN; 36,000 ; 36,000 ;Banca Minorista;0
19431;SUPER DEPOSITO;PEN; 21,495 ; 21,495 ;Banca Minorista;0
19432;FONDO MUTUO;PEN; 2,500 ; 2,500 ;Banca Minorista;0
19433;CUENTAS EN GTIA;PEN; 12,000 ; 12,000 ;Banca Minorista;0
19434;FONDO MUTUO;USD; 1,000 ; 3,318 ;Banca Minorista;0
19435;DEPOSITO A PLAZO;PEN; 12,000 ; 12,000 ;Banca Minorista;0
19436;DEPOSITO A PLAZO;PEN; 50,000 ; 50,000 ;Banca Minorista;0
19437;DEPOSITO A PLAZO;PEN; 30,000 ; 30,000 ;Banca Minorista;0
19438;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
19439;FONDO MUTUO;PEN; 50,000 ; 50,000 ;Banca Minorista;0
19440;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
19441;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
19442;FONDO MUTUO;PEN; 14,406 ; 14,406 ;Banca Minorista;0
19443;CUENTAS EN GTIA;PEN; 41,800 ; 41,800 ;Banca Minorista;0
19444;FONDO MUTUO;PEN; 49,999 ; 49,999 ;Banca Minorista;0
19445;DEPOSITO A PLAZO;PEN; 200,000 ; 200,000 ;Banca Minorista;0
19446;FONDO MUTUO;PEN; 5,001 ; 5,001 ;Banca Minorista;0
19447;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
